1,58E+12;AUTO POSTO RIO ARAGUAIA;RUA CORONEL GRIZORTE,802;;CENTRO;PAU D'ARCO;TO;DIESEL S10;3,85;29/05/19 13:54;2020-04-21
1,83E+12;POSTO DE SERVICOS CIDADE DO MAR;AVENIDA EDGAR SCHENEIDER,877;;CURUMIN;CAPAO DA CANOA;RS;GASOLINA C COMUM;4,59;13/02/20 15:16;2020-04-21
1,83E+12;POSTO DE SERVICOS CIDADE DO MAR;AVENIDA EDGAR SCHENEIDER,877;;CURUMIN;CAPAO DA CANOA;RS;DIESEL S500;3,35;18/02/20 15:10;2020-04-21
1,83E+12;POSTO DE SERVICOS CIDADE DO MAR;AVENIDA EDGAR SCHENEIDER,877;;CURUMIN;CAPAO DA CANOA;RS;DIESEL S10;3,44;18/02/20 15:10;2020-04-21
1,83E+12;POSTO DE SERVICOS CIDADE DO MAR;AVENIDA EDGAR SCHENEIDER,877;;CURUMIN;CAPAO DA CANOA;RS;ETANOL;4,69;21/04/19 13:10;2020-04-21
1,94E+12;POSTOS MOURA;RODOVIA BR 232,204;KM    182;SANTO ANTONIO;BELO JARDIM;PE;GASOLINA C COMUM;4,439;04/07/18 15:28;2020-04-21
1,94E+12;POSTOS MOURA;RODOVIA BR 232,204;KM    182;SANTO ANTONIO;BELO JARDIM;PE;ETANOL;3,499;04/07/18 15:28;2020-04-21
1,94E+12;POSTOS MOURA;RODOVIA BR 232,204;KM    182;SANTO ANTONIO;BELO JARDIM;PE;DIESEL S500;3,369;04/07/18 15:28;2020-04-21
1,94E+12;POSTOS MOURA;RODOVIA BR 232,204;KM    182;SANTO ANTONIO;BELO JARDIM;PE;DIESEL S10;3,389;04/07/18 15:28;2020-04-21
2,06E+12;POSTO FRANKLIN REZENDE LTDA;RODOVIA MG 367,S/N;KM 278;ZONA RURAL;ARACUAI;MG;GASOLINA C COMUM;5,48;16/10/18 09:58;2020-04-21
2,06E+12;POSTO FRANKLIN REZENDE LTDA;RODOVIA MG 367,S/N;KM 278;ZONA RURAL;ARACUAI;MG;ETANOL;3,48;16/10/18 09:58;2020-04-21
2,06E+12;POSTO FRANKLIN REZENDE LTDA;RODOVIA MG 367,S/N;KM 278;ZONA RURAL;ARACUAI;MG;DIESEL S500;4,07;16/10/18 09:58;2020-04-21
2,06E+12;POSTO FRANKLIN REZENDE LTDA;RODOVIA MG 367,S/N;KM 278;ZONA RURAL;ARACUAI;MG;DIESEL S10;4,12;16/10/18 09:58;2020-04-21
2,08E+12;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS,2500;;LOTEAMENTO PARQUE SAO MARTINHO;CAMPINAS;SP;GASOLINA C COMUM;4,099;23/01/19 14:56;2020-04-21
2,08E+12;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS,2500;;LOTEAMENTO PARQUE SAO MARTINHO;CAMPINAS;SP;ETANOL;2,799;29/01/19 10:54;2020-04-21
2,08E+12;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS,2500;;LOTEAMENTO PARQUE SAO MARTINHO;CAMPINAS;SP;DIESEL S500;3,599;23/01/19 14:56;2020-04-21
2,08E+12;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS,2500;;LOTEAMENTO PARQUE SAO MARTINHO;CAMPINAS;SP;DIESEL S10;3,699;23/01/19 14:56;2020-04-21
